"Título de trazado: 1296588"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 1296588, SEN S/N: 1296588)","Intensidad, lux (LGR S/N: 1296588, SEN S/N: 1296588)","Batería mala (LGR S/N: 1296588)","Final de archivo (LGR S/N: 1296588)"
1,10/22/14 03:00:00 PM,23.869,269.1,,
2,10/22/14 05:00:00 PM,23.677,118.4,,
3,10/22/14 07:00:00 PM,23.773,43.1,,
4,10/22/14 09:00:00 PM,25.125,0.0,,
5,10/22/14 11:00:00 PM,25.416,0.0,,
6,10/23/14 01:00:00 AM,25.610,0.0,,
7,10/23/14 03:00:00 AM,25.708,0.0,,
8,10/23/14 05:00:00 AM,25.708,0.0,,
9,10/23/14 07:00:00 AM,25.708,0.0,,
10,10/23/14 09:00:00 AM,25.805,107.6,,
11,10/23/14 11:00:00 AM,24.158,129.2,,
12,10/23/14 01:00:00 PM,23.677,322.9,,
13,10/23/14 03:00:00 PM,23.388,376.7,,
14,10/23/14 05:00:00 PM,23.677,86.1,,
15,10/23/14 07:00:00 PM,24.255,0.0,,
16,10/23/14 09:00:00 PM,25.319,0.0,,
17,10/23/14 11:00:00 PM,25.610,0.0,,
18,10/24/14 01:00:00 AM,25.708,0.0,,
19,10/24/14 03:00:00 AM,25.708,0.0,,
20,10/24/14 05:00:00 AM,25.708,0.0,,
21,10/24/14 07:00:00 AM,25.610,0.0,,
22,10/24/14 09:00:00 AM,25.610,21.5,,
23,10/24/14 11:00:00 AM,25.513,247.6,,
24,10/24/14 01:00:00 PM,24.351,64.6,,
25,10/24/14 03:00:00 PM,24.158,193.8,,
26,10/24/14 05:00:00 PM,24.062,96.9,,
27,10/24/14 07:00:00 PM,23.966,0.0,,
28,10/24/14 09:00:00 PM,24.835,0.0,,
29,10/24/14 11:00:00 PM,25.125,0.0,,
30,10/25/14 01:00:00 AM,25.222,0.0,,
31,10/25/14 03:00:00 AM,25.222,0.0,,
32,10/25/14 05:00:00 AM,25.125,0.0,,
33,10/25/14 07:00:00 AM,24.931,0.0,,
34,10/25/14 09:00:00 AM,24.931,86.1,,
35,10/25/14 11:00:00 AM,25.610,258.3,,
36,10/25/14 01:00:00 PM,25.902,32.3,,
37,10/25/14 03:00:00 PM,25.805,150.7,,
38,10/25/14 05:00:00 PM,26.000,0.0,,
39,10/25/14 07:00:00 PM,25.902,0.0,,
40,10/25/14 09:00:00 PM,25.902,0.0,,
41,10/25/14 11:00:00 PM,25.708,0.0,,
42,10/26/14 01:00:00 AM,25.513,0.0,,
43,10/26/14 03:00:00 AM,25.319,0.0,,
44,10/26/14 05:00:00 AM,25.125,0.0,,
45,10/26/14 07:00:00 AM,24.931,0.0,,
46,10/26/14 09:00:00 AM,24.835,193.8,,
47,10/26/14 11:00:00 AM,25.222,688.9,,
48,10/26/14 01:00:00 PM,26.000,161.5,,
49,10/26/14 03:00:00 PM,26.195,183.0,,
50,10/26/14 05:00:00 PM,26.488,21.5,,
51,10/26/14 07:00:00 PM,26.390,0.0,,
52,10/26/14 09:00:00 PM,26.292,0.0,,
53,10/26/14 11:00:00 PM,26.097,0.0,,
54,10/27/14 01:00:00 AM,25.902,0.0,,
55,10/27/14 03:00:00 AM,25.610,0.0,,
56,10/27/14 05:00:00 AM,25.319,0.0,,
57,10/27/14 07:00:00 AM,25.125,0.0,,
58,10/27/14 09:00:00 AM,24.931,86.1,,
59,10/27/14 11:00:00 AM,25.319,645.8,,
60,10/27/14 01:00:00 PM,24.835,430.6,,
61,10/27/14 03:00:00 PM,23.869,64.6,,
62,10/27/14 05:00:00 PM,23.869,172.2,,
63,10/27/14 07:00:00 PM,23.773,0.0,,
64,10/27/14 09:00:00 PM,24.062,0.0,,
65,10/27/14 11:00:00 PM,24.158,0.0,,
66,10/28/14 01:00:00 AM,24.158,0.0,,
67,10/28/14 03:00:00 AM,24.158,0.0,,
68,10/28/14 05:00:00 AM,24.255,0.0,,
69,10/28/14 07:00:00 AM,24.351,0.0,,
70,10/28/14 09:00:00 AM,24.255,86.1,,
71,10/28/14 11:00:00 AM,23.773,602.8,,
