"Refugio","LHC","Cola","Peso"
"CON_REFUGIO",19,9,25
"CON_REFUGIO",13,10,23.3
"CON_REFUGIO",31,22,67.5
"CON_REFUGIO",16,7,22.9
"CON_REFUGIO",32,14,56.6
"CON_REFUGIO",24,15,34.1
"CON_REFUGIO",29,20,35.3
"CON_REFUGIO",37,18,64.4
"CON_REFUGIO",20,11,33.3
"CON_REFUGIO",24,14,33.2
"CON_REFUGIO",24,12,87.5
"CON_REFUGIO",15,11,27.4
"CON_REFUGIO",14,6,31.6
"CON_REFUGIO",10,14,41.1
"CON_REFUGIO",13,7,34.9
"CON_REFUGIO",18,7,41.7
"CON_REFUGIO",13,9,57
"CON_REFUGIO",6,8,27.7
"CON_REFUGIO",22,25,96.8
"CON_REFUGIO",-16,-4,0.6
"CON_REFUGIO",-7,-8,-39.7
"CON_REFUGIO",22,18,36
"CON_REFUGIO",11,4,8.1
"CON_REFUGIO",18,10,19.3
"SIN_REFUGIO",0,-8,-18.1
"SIN_REFUGIO",9,2,7.4
"SIN_REFUGIO",12,-3,-12.9
"SIN_REFUGIO",16,29,30.6
"SIN_REFUGIO",14,14,29.6
"SIN_REFUGIO",1,3,8.8
"SIN_REFUGIO",6,-8,3.4
"SIN_REFUGIO",36,17,64.5
"SIN_REFUGIO",25,12,35.6
"SIN_REFUGIO",20,14,39.1
"SIN_REFUGIO",21,8,21.5
"SIN_REFUGIO",26,10,33.4
"SIN_REFUGIO",22,14,24.8
"SIN_REFUGIO",12,5,28.1
"SIN_REFUGIO",25,18,40
"SIN_REFUGIO",19,21,28.7
"SIN_REFUGIO",19,12,32.1
"SIN_REFUGIO",6,-12,-14.2
"SIN_REFUGIO",19,19,27.5
"SIN_REFUGIO",17,17,28.1
"SIN_REFUGIO",11,8,12.2
"SIN_REFUGIO",8,11,8.8
"SIN_REFUGIO",22,16,24.3
"SIN_REFUGIO",10,-4,13.4
"SIN_REFUGIO",18,12,22.1
"SIN_REFUGIO",18,13,23.9
"SIN_REFUGIO",11,6,30.1
"SIN_REFUGIO",15,21,20
"SIN_REFUGIO",8,10,8.1
"SIN_REFUGIO",17,14,26.3
"SIN_REFUGIO",19,14,34.4
