"Título de trazado: 1174337"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 1174337, SEN S/N: 1174337)","Intensidad, lux (LGR S/N: 1174337, SEN S/N: 1174337)","Acoplador adjunto (LGR S/N: 1174337)","Host conectado (LGR S/N: 1174337)","Parado (LGR S/N: 1174337)","Final de archivo (LGR S/N: 1174337)"
1,10/22/14 03:00:00 PM,23.292,258.3,,,,
2,10/22/14 05:00:00 PM,23.484,139.9,,,,
3,10/22/14 07:00:00 PM,23.677,64.6,,,,
4,10/22/14 09:00:00 PM,24.931,0.0,,,,
5,10/22/14 11:00:00 PM,25.319,0.0,,,,
6,10/23/14 01:00:00 AM,25.513,0.0,,,,
7,10/23/14 03:00:00 AM,25.513,0.0,,,,
8,10/23/14 05:00:00 AM,25.610,0.0,,,,
9,10/23/14 07:00:00 AM,25.610,0.0,,,,
10,10/23/14 09:00:00 AM,25.708,118.4,,,,
11,10/23/14 11:00:00 AM,24.062,139.9,,,,
12,10/23/14 01:00:00 PM,23.581,322.9,,,,
13,10/23/14 03:00:00 PM,23.484,376.7,,,,
14,10/23/14 05:00:00 PM,23.484,107.6,,,,
15,10/23/14 07:00:00 PM,24.255,43.1,,,,
16,10/23/14 09:00:00 PM,25.222,0.0,,,,
17,10/23/14 11:00:00 PM,25.513,0.0,,,,
18,10/24/14 01:00:00 AM,25.610,0.0,,,,
19,10/24/14 03:00:00 AM,25.610,0.0,,,,
20,10/24/14 05:00:00 AM,25.513,0.0,,,,
21,10/24/14 07:00:00 AM,25.416,0.0,,,,
22,10/24/14 09:00:00 AM,25.416,21.5,,,,
23,10/24/14 11:00:00 AM,25.222,269.1,,,,
24,10/24/14 01:00:00 PM,24.158,0.0,,,,
25,10/24/14 03:00:00 PM,23.966,21.5,,,,
26,10/24/14 05:00:00 PM,23.773,10.8,,,,
27,10/24/14 07:00:00 PM,23.773,0.0,,,,
28,10/24/14 09:00:00 PM,24.738,0.0,,,,
29,10/24/14 11:00:00 PM,25.028,0.0,,,,
30,10/25/14 01:00:00 AM,25.028,0.0,,,,
31,10/25/14 03:00:00 AM,25.028,0.0,,,,
32,10/25/14 05:00:00 AM,24.931,0.0,,,,
33,10/25/14 07:00:00 AM,24.835,0.0,,,,
34,10/25/14 09:00:00 AM,24.738,0.0,,,,
35,10/25/14 11:00:00 AM,25.513,32.3,,,,
36,10/25/14 01:00:00 PM,25.708,0.0,,,,
37,10/25/14 03:00:00 PM,25.708,10.8,,,,
38,10/25/14 05:00:00 PM,25.805,0.0,,,,
39,10/25/14 07:00:00 PM,25.805,0.0,,,,
40,10/25/14 09:00:00 PM,25.708,0.0,,,,
41,10/25/14 11:00:00 PM,25.610,0.0,,,,
42,10/26/14 01:00:00 AM,25.319,0.0,,,,
43,10/26/14 03:00:00 AM,25.125,0.0,,,,
44,10/26/14 05:00:00 AM,24.835,0.0,,,,
45,10/26/14 07:00:00 AM,24.641,0.0,,,,
46,10/26/14 09:00:00 AM,24.641,21.5,,,,
47,10/26/14 11:00:00 AM,25.125,118.4,,,,
48,10/26/14 01:00:00 PM,25.902,21.5,,,,
49,10/26/14 03:00:00 PM,26.097,32.3,,,,
50,10/26/14 05:00:00 PM,26.390,0.0,,,,
51,10/26/14 07:00:00 PM,26.195,0.0,,,,
52,10/26/14 09:00:00 PM,26.097,0.0,,,,
53,10/26/14 11:00:00 PM,25.902,0.0,,,,
54,10/27/14 01:00:00 AM,25.610,0.0,,,,
55,10/27/14 03:00:00 AM,25.416,0.0,,,,
56,10/27/14 05:00:00 AM,25.125,0.0,,,,
57,10/27/14 07:00:00 AM,24.931,0.0,,,,
58,10/27/14 09:00:00 AM,24.738,10.8,,,,
59,10/27/14 11:00:00 AM,25.222,107.6,,,,
60,10/27/14 01:00:00 PM,24.351,64.6,,,,
61,10/27/14 03:00:00 PM,23.677,0.0,,,,
62,10/27/14 05:00:00 PM,23.581,21.5,,,,
63,10/27/14 07:00:00 PM,23.581,0.0,,,,
64,10/27/14 09:00:00 PM,23.869,0.0,,,,
65,10/27/14 11:00:00 PM,24.062,0.0,,,,
66,10/28/14 01:00:00 AM,24.062,0.0,,,,
67,10/28/14 03:00:00 AM,23.966,0.0,,,,
68,10/28/14 05:00:00 AM,24.062,0.0,,,,
69,10/28/14 07:00:00 AM,24.158,0.0,,,,
70,10/28/14 09:00:00 AM,24.062,10.8,,,,
71,10/28/14 11:00:00 AM,23.484,96.9,,,,
72,10/28/14 01:00:00 PM,22.333,53.8,,,,
73,10/28/14 03:00:00 PM,23.773,32.3,,,,
74,10/28/14 05:00:00 PM,25.708,21.5,,,,
75,10/28/14 07:00:00 PM,23.773,0.0,,,,
76,10/28/14 09:00:00 PM,25.222,0.0,,,,
77,10/28/14 11:00:00 PM,25.708,0.0,,,,
78,10/29/14 01:00:00 AM,25.708,0.0,,,,
79,10/29/14 03:00:00 AM,25.708,0.0,,,,
80,10/29/14 05:00:00 AM,25.708,0.0,,,,
81,10/29/14 07:00:00 AM,25.708,0.0,,,,
82,10/29/14 09:00:00 AM,25.708,10.8,,,,
83,10/29/14 11:00:00 AM,24.062,43.1,,,,
84,10/29/14 01:00:00 PM,24.738,75.3,,,,
