"Tina","Resguardo","Silvestre","MARCA","Mes","LHC","COLA","PESO","Fecha","CambioTina","TinaGrande"
1,"CR","UMA",187,"ENERO",128,40,34.1,2015-01-20,"Antes","1"
1,"CR","UMA",420,"ENERO",154,52,62.7,2015-01-20,"Antes","1"
1,"CR","UMA",449,"ENERO",154,50,61.7,2015-01-20,"Antes","1"
1,"CR","UMA",450,"ENERO",150,48,57.3,2015-01-20,"Antes","1"
1,"CR","UMA",526,"ENERO",148,56,65.7,2015-01-20,"Antes","1"
1,"CR","UMA",509,"ENERO",130,42,45.1,2015-01-20,"Antes","1"
2,"SR","UMA",325,"ENERO",142,60,85.4,2015-01-20,"Antes","1"
2,"SR","UMA",447,"ENERO",160,52,63.8,2015-01-20,"Antes","1"
2,"SR","UMA",527,"ENERO",144,48,55.2,2015-01-20,"Antes","1"
2,"SR","Silvestre",104,"ENERO",NA,NA,NA,2015-01-20,"Antes","1"
2,"SR","Silvestre",106,"ENERO",NA,NA,NA,2015-01-20,"Antes","1"
2,"SR","Silvestre",110,"ENERO",NA,NA,NA,2015-01-20,"Antes","1"
2,"SR","Silvestre",546,"ENERO",NA,NA,NA,2015-01-20,"Antes","1"
2,"SR","Silvestre",547,"ENERO",NA,NA,NA,2015-01-20,"Antes","1"
3,"CR","UMA",426,"ENERO",156,38,70.9,2015-01-20,"Antes","1"
3,"CR","UMA",475,"ENERO",131,40,48.2,2015-01-20,"Antes","1"
3,"CR","UMA",492,"ENERO",134,44,47,2015-01-20,"Antes","1"
3,"CR","UMA",511,"ENERO",148,50,63.3,2015-01-20,"Antes","1"
4,"SR","UMA",427,"ENERO",156,58,77.5,2015-01-20,"Antes","2"
4,"SR","UMA",493,"ENERO",142,46,45,2015-01-20,"Antes","2"
4,"SR","UMA",512,"ENERO",146,50,57.2,2015-01-20,"Antes","2"
4,"SR","UMA",529,"ENERO",134,48,44.5,2015-01-20,"Antes","2"
4,"SR","UMA",425,"ENERO",158,60,95.4,2015-01-20,"Antes","2"
5,"CR","UMA",434,"ENERO",152,52,71.7,2015-01-20,"Antes","2"
5,"CR","UMA",530,"ENERO",136,46,47.8,2015-01-20,"Antes","2"
5,"CR","Silvestre",107,"ENERO",NA,NA,NA,2015-01-20,"Antes","2"
5,"CR","Silvestre",542,"ENERO",NA,NA,NA,2015-01-20,"Antes","2"
5,"CR","Silvestre",543,"ENERO",NA,NA,NA,2015-01-20,"Antes","2"
5,"CR","Silvestre",544,"ENERO",NA,NA,NA,2015-01-20,"Antes","2"
5,"CR","Silvestre",548,"ENERO",NA,NA,NA,2015-01-20,"Antes","2"
6,"SR","UMA",435,"ENERO",152,56,77.5,2015-01-20,"Antes","2"
6,"SR","UMA",456,"ENERO",170,62,91.8,2015-01-20,"Antes","2"
6,"SR","UMA",478,"ENERO",128,32,34.1,2015-01-20,"Antes","2"
6,"SR","UMA",496,"ENERO",128,32,32.2,2015-01-20,"Antes","2"
6,"SR","UMA",531,"ENERO",138,46,48.9,2015-01-20,"Antes","2"
7,"SR","UMA",457,"ENERO",148,54,67.3,2015-01-20,"Antes","3"
7,"SR","UMA",479,"ENERO",138,42,50.5,2015-01-20,"Antes","3"
7,"SR","UMA",498,"ENERO",130,36,36.1,2015-01-20,"Antes","3"
7,"SR","UMA",515,"ENERO",144,46,56.7,2015-01-20,"Antes","3"
7,"SR","UMA",524,"ENERO",140,42,49.3,2015-01-20,"Antes","3"
7,"SR","UMA",532,"ENERO",140,48,60.3,2015-01-20,"Antes","3"
8,"CR","Silvestre",100,"ENERO",NA,NA,NA,2015-01-20,"Antes","3"
8,"CR","Silvestre",535,"ENERO",NA,NA,NA,2015-01-20,"Antes","3"
8,"CR","Silvestre",536,"ENERO",NA,NA,NA,2015-01-20,"Antes","3"
8,"CR","Silvestre",539,"ENERO",NA,NA,NA,2015-01-20,"Antes","3"
