"Título de trazado: 2271278"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 2271278, SEN S/N: 2271278)","Intensidad, lux (LGR S/N: 2271278, SEN S/N: 2271278)","Batería mala (LGR S/N: 2271278)","Acoplador adjunto (LGR S/N: 2271278)","Host conectado (LGR S/N: 2271278)","Parado (LGR S/N: 2271278)","Final de archivo (LGR S/N: 2271278)"
1,10/22/14 02:00:00 PM,26.000,193.8,,,,,
2,10/22/14 04:00:00 PM,23.677,269.1,,,,,
3,10/22/14 06:00:00 PM,23.869,86.1,,,,,
4,10/22/14 08:00:00 PM,24.738,0.0,,,,,
5,10/22/14 10:00:00 PM,25.416,0.0,,,,,
6,10/23/14 12:00:00 AM,25.708,0.0,,,,,
7,10/23/14 02:00:00 AM,25.805,0.0,,,,,
8,10/23/14 04:00:00 AM,25.805,0.0,,,,,
9,10/23/14 06:00:00 AM,25.805,0.0,,,,,
10,10/23/14 08:00:00 AM,25.902,10.8,,,,,
11,10/23/14 10:00:00 AM,24.545,118.4,,,,,
12,10/23/14 12:00:00 PM,24.062,1324.0,,,,,
13,10/23/14 02:00:00 PM,23.869,279.9,,,,,
14,10/23/14 04:00:00 PM,23.869,516.7,,,,,
15,10/23/14 06:00:00 PM,23.966,64.6,,,,,
16,10/23/14 08:00:00 PM,25.222,0.0,,,,,
17,10/23/14 10:00:00 PM,25.610,0.0,,,,,
18,10/24/14 12:00:00 AM,25.805,0.0,,,,,
19,10/24/14 02:00:00 AM,25.805,0.0,,,,,
20,10/24/14 04:00:00 AM,25.805,0.0,,,,,
21,10/24/14 06:00:00 AM,25.708,0.0,,,,,
22,10/24/14 08:00:00 AM,25.708,0.0,,,,,
23,10/24/14 10:00:00 AM,25.708,75.3,,,,,
24,10/24/14 12:00:00 PM,24.545,64.6,,,,,
25,10/24/14 02:00:00 PM,24.448,236.8,,,,,
26,10/24/14 04:00:00 PM,24.158,183.0,,,,,
27,10/24/14 06:00:00 PM,23.869,32.3,,,,,
28,10/24/14 08:00:00 PM,24.641,0.0,,,,,
29,10/24/14 10:00:00 PM,25.222,0.0,,,,,
30,10/25/14 12:00:00 AM,25.319,0.0,,,,,
31,10/25/14 02:00:00 AM,25.319,0.0,,,,,
32,10/25/14 04:00:00 AM,25.222,0.0,,,,,
33,10/25/14 06:00:00 AM,25.125,0.0,,,,,
34,10/25/14 08:00:00 AM,25.028,0.0,,,,,
35,10/25/14 10:00:00 AM,25.222,301.4,,,,,
36,10/25/14 12:00:00 PM,26.195,398.3,,,,,
37,10/25/14 02:00:00 PM,25.902,139.9,,,,,
38,10/25/14 04:00:00 PM,26.097,129.2,,,,,
39,10/25/14 06:00:00 PM,26.000,10.8,,,,,
40,10/25/14 08:00:00 PM,26.000,0.0,,,,,
41,10/25/14 10:00:00 PM,26.000,0.0,,,,,
42,10/26/14 12:00:00 AM,25.708,0.0,,,,,
43,10/26/14 02:00:00 AM,25.513,0.0,,,,,
44,10/26/14 04:00:00 AM,25.222,0.0,,,,,
45,10/26/14 06:00:00 AM,25.028,0.0,,,,,
46,10/26/14 08:00:00 AM,24.931,64.6,,,,,
47,10/26/14 10:00:00 AM,25.028,279.9,,,,,
